OTHERNAME,RSTAR,MASS,STAR,COMP,star,R,A,texture,,,,,,,day,PER,I
,rsun,mearth,,,,rjupiter,au,,,,,,,,,yrs,deg
,0.464,23.10460024,GJ 436,b,0,0.3767,0.0287188,textures/earth.jpg,-,-,-,-,-,-,,0.007238621,86.36
59 Vir A,0.912273,,GJ 504,b,0,,,textures/earth.jpg,-,-,-,-,-,-,,,
,0.299,15.85965276,GJ 581,b,0,,0.0406125,textures/earth.jpg,-,-,-,-,-,-,,0.014698877,
,0.299,5.331564347,GJ 581,c,0,,0.0729238,textures/earth.jpg,-,-,-,-,-,-,,0.035368859,
,0.299,6.073602571,GJ 581,d,0,,0.217717,textures/earth.jpg,-,-,-,-,-,-,,0.182454273,
,0.299,1.949665072,GJ 581,e,0,,0.028459,textures/earth.jpg,-,-,-,-,-,-,,0.008622908,
,,103.3987742,GJ 649,b,0,,1.13179,textures/earth.jpg,-,-,-,-,-,-,,1.638091112,
2MASS J17185868-3459483,,5.457197253,GJ 667 C,b,0,,0.0504235,textures/earth.jpg,-,-,-,-,-,-,,0.019710209,
2MASS J17185868-3459483,,4.271709511,GJ 667 C,c,0,,0.125092,textures/earth.jpg,-,-,-,-,-,-,,0.077017388,
,,11.08512559,GJ 674,b,0,,0.0386657,textures/earth.jpg,-,-,-,-,-,-,,0.012851198,
2MASS J17301119-5138132,,1556.351124,GJ 676 A,b,0,,1.81539,textures/earth.jpg,-,-,-,-,-,-,,2.893422509,
,,204.7625686,GJ 832,b,0,,3.4032,textures/earth.jpg,-,-,-,-,-,-,,9.352698042,
2MASS J22094029-0438267,,264.069373,GJ 849,b,0,,2.35317,textures/earth.jpg,-,-,-,-,-,-,,5.152745233,
HD 13445,0.748264,1271.596975,GJ 86,b,0,,0.114217,textures/earth.jpg,-,-,-,-,-,-,,0.043162893,
2MASS J22531672-1415489,,618.7571608,GJ 876,b,0,,0.208098,textures/earth.jpg,-,-,-,-,-,-,,0.167331705,
,,194.5571594,GJ 876,c,0,,0.129574,textures/earth.jpg,-,-,-,-,-,-,,0.082378488,
,,5.853959511,GJ 876,d,0,,0.0208066,textures/earth.jpg,-,-,-,-,-,-,,0.005305466,
2MASS J22531672-1415489,,12.46762785,GJ 876,e,0,,0.333345,textures/earth.jpg,-,-,-,-,-,-,,0.340212605,
ADS 16402B,1.135,169.1957116,HAT-P-1,b,0,1.242,0.0553326,textures/earth.jpg,-,-,-,-,-,-,,0.012225568,86.11
,0.75,26.23112115,HAT-P-11,b,0,0.422,0.0525443,textures/earth.jpg,-,-,-,-,-,-,,0.013382397,88.5
,0.701,66.99701296,HAT-P-12,b,0,0.959,0.0383737,textures/earth.jpg,-,-,-,-,-,-,,0.008797066,89
,1.56,272.3942613,HAT-P-13,b,0,1.281,0.0426946,textures/earth.jpg,-,-,-,-,-,-,,0.007984428,83.4
,1.56,4535.115918,HAT-P-13,c,0,,1.22574,textures/earth.jpg,-,-,-,-,-,-,,1.221846767,
2MASS  J17202788+3814317,1.468,710.6474777,HAT-P-14,b,0,1.15,0.0606258,textures/earth.jpg,-,-,-,-,-,-,,0.012670138,83.5
2MASS J04245952+3927382,1.08,620.2318299,HAT-P-15,b,0,1.072,0.0964692,textures/earth.jpg,-,-,-,-,-,-,,0.029743283,89.1
2MASS J00381756+4227470,1.237,1335.62431,HAT-P-16,b,0,1.289,0.0413275,textures/earth.jpg,-,-,-,-,-,-,,0.007600327,86.6
2MASS J21380873+3029193,0.837,168.4930191,HAT-P-17,b,0,1.01,0.0882385,textures/earth.jpg,-,-,-,-,-,-,,0.028305938,89.2
2MASS J17052315+3300450,0.749,62.67502486,HAT-P-18,b,0,0.995,0.0559503,textures/earth.jpg,-,-,-,-,-,-,,0.015080467,88.8
2MASS J00380401+3442416,0.82,92.88921447,HAT-P-19,b,0,1.132,0.0466409,textures/earth.jpg,-,-,-,-,-,-,,0.01097567,88.2
HD 147506,1.506,2819.239924,HAT-P-2,b,0,1.157,0.0679088,textures/earth.jpg,-,-,-,-,-,-,,0.015423938,86.72
