Sys,Name,Star,Size(Rs/Rj),Distance(ly)/Orbit(AU),Texture,Right ascension,Declination,Apparent magnitude,Spectral class,Spectral type,(Confirmed)Planets,Day(day),Year(a),Inclination(km),detection,BinOrTri/Mass(Me),Info_sys,Info_p
HD 45364,HD 45364,1,1.02464,107,textures/g.png,06.25.38.48,-31.28.51.4,8.07,G,G8V,2,-,-,-,-,,1,1
b,b,0,,0.6813,textures/exo-class2.jpg,-,-,-,-,-,-,,0.621726027,,Radial Velocity,59.47906101,,
c,c,0,,0.8972,textures/exo-class2.jpg,-,-,-,-,-,-,,0.939315068,,Radial Velocity,209.2863702,,
HD 37124,HD 37124,1,0.772275,110,textures/g.png,05.37.02.49,+20.43.50.8,7.68,G,G4V,3,-,-,-,-,,1,1
b,b,0,,0.53,textures/exo-class2.jpg,-,-,-,-,-,-,,0.423178082,,Radial Velocity,214.3263061,,
c,c,0,,3.19,textures/exo-class2.jpg,-,-,-,-,-,-,,6.287671233,,Radial Velocity,205.9798062,,
d,d,0,,1.64,textures/exo-class1.jpg,-,-,-,-,-,-,,2.311232877,,Radial Velocity,218.2287762,,
HD 65216,HD 65216,1,0.88536,112,textures/g.png,07.53.41.3,-63.38.50.4,7.98,G,G5V,2,-,-,-,-,,1,1
b,b,0,,1.3,textures/exo-class2.jpg,-,-,-,-,-,-,,1.568219178,,Radial Velocity,384.659,,
c,c,0,,0.54,textures/exo-class2.jpg,-,-,-,-,-,-,,0.418082192,,Radial Velocity,54.043,,
HD 12661,HD 12661,1,1.06782,114,textures/g.png,02.04.34.29,+25.24.51.5,7.44,G,G6V,2,-,-,-,-,,1,1
b,b,0,,0.831,textures/exo-class2.jpg,-,-,-,-,-,-,,0.719750685,,Radial Velocity,743.945124,,
c,c,0,,2.9,textures/exo-class1.jpg,-,-,-,-,-,-,,4.679452055,,Radial Velocity,619.3292307,,
HD 51608,HD 51608,1,,114,textures/k.png,006.54.51,-55.15.34,8.17,K,K0IV,2,-,-,-,-,,0,0
b,b,0,,0.1059,textures/exo-class2.jpg,-,-,-,-,-,-,,0.038547945,,Radial Velocity,13.12927,,
c,c,0,,0.3791,textures/exo-class2.jpg,-,-,-,-,-,-,,0.261410959,,Radial Velocity,17.96135,,
HD 20781 + HD 20782,HD 20781,1,,115,textures/g.png,03.20.03,-28.47.02,8.44,G,G9.5V,2,-,-,-,-,binary,1,1
b,b,0,,0.169,textures/exo-class2.jpg,-,-,-,-,-,-,,0.079863014,,Radial Velocity,12.04841,,
c,c,0,,0.3456,textures/exo-class2.jpg,-,-,-,-,-,-,,0.233235616,,Radial Velocity,15.76784,,
HD 169830,HD 169830,1,1.80318,119,textures/f.png,18.27.49.48,-29.49.00.7,5.91,F,F9V,2,-,-,-,-,,1,1
b,b,0,,0.81,textures/exo-class2.jpg,-,-,-,-,-,-,,0.618136986,,Radial Velocity,918.3183861,,
c,c,0,,3.6,textures/exo-class2.jpg,-,-,-,-,-,-,,5.75890411,,Radial Velocity,1291.628956,,
HD 215456,HD 215456,1,,124,textures/g.png,22.46.08,-48.58.4,6.63,G,G0.5V,2,-,-,-,-,,0,0
b,b,0,,0.652,textures/exo-class2.jpg,-,-,-,-,-,-,,0.526,,Radial Velocity,32.1079,,
c,c,0,,3.394,textures/exo-class2.jpg,-,-,-,-,-,-,,6.238356164,,Radial Velocity,78.2034,,
Kepler-42,Kepler-42,1,0.17,126,textures/m.png,19.28.53,+44.37.10,16.12,M,M,3,-,-,-,-,,1,1
b,b,0,0.07,0.0116,textures/exo-class2.jpg,-,-,-,-,-,-,,0.00332539,,Transit,,,
c,c,0,0.065,0.006,textures/exo-class2.jpg,-,-,-,-,-,-,,0.001241877,,Transit,,,
d,d,0,0.051,0.0154,textures/exo-class2.jpg,-,-,-,-,-,-,,0.005110052,,Transit,,,
HD 31527,HD 31527,1,,126,textures/g.png,04.55.38,-23.14.31,7.48,G,G0V,3,-,-,-,-,,0,0
b,b,0,,0.1253,textures/exo-class2.jpg,-,-,-,-,-,-,,0.045331507,,Radial Velocity,11.53977,,
c,c,0,,0.2665,textures/exo-class2.jpg,-,-,-,-,-,-,,0.14050411,,Radial Velocity,15.83142,,
d,d,0,,0.8181,textures/exo-class2.jpg,-,-,-,-,-,-,,0.752027397,,Radial Velocity,16.49901,,
HD 10180,HD 10180,1,1.10851,127,textures/g.png,01.37.53.58,-60.30.41.5,7.33,G,G1V,7,-,-,-,-,,1,1
b,b,0,,0.02222,textures/exo-class2.jpg,-,-,-,-,-,-,,,,Radial Velocity,1.3,,
c,c,0,,0.0641,textures/exo-class2.jpg,-,-,-,-,-,-,,0.015780247,,Radial Velocity,13.19110558,,
d,d,0,,0.1286,textures/exo-class2.jpg,-,-,-,-,-,-,,0.044816164,,Radial Velocity,11.96735272,,
e,e,0,,0.2699,textures/exo-class2.jpg,-,-,-,-,-,-,,0.136287671,,Radial Velocity,25.35836495,,
f,f,0,,0.4929,textures/exo-class2.jpg,-,-,-,-,-,-,,0.336328767,,Radial Velocity,23.62178321,,
g,g,0,,1.422,textures/exo-class2.jpg,-,-,-,-,-,-,,1.647123288,,Radial Velocity,21.41489644,,
h,h,0,,3.4,textures/exo-class2.jpg,-,-,-,-,-,-,,6.087671233,,Radial Velocity,65.4807099,,
HD 47186,HD 47186,1,1.13117,129,textures/g.png,06.36.08.79,-27.37.20.3,7.79,G,G6V,2,-,-,-,-,,1,1
b,b,0,,0.05,textures/venuslike.jpg,-,-,-,-,-,-,,0.011190411,,Radial Velocity,22.62949618,,
c,c,0,,2.395,textures/exo-class1.jpg,-,-,-,-,-,-,,3.708493151,,Radial Velocity,110.6907585,,
HR 8799,HR 8799,1,1.44,129,textures/a.jpg,23.07.28.72,+21.08.03.3,5.96,A,A5V,4,-,-,-,-,,1,1
b,b,0,,68,textures/exo-class1.jpg,-,-,-,-,-,-,,465.7534247,,Imaging,2225.3,,
c,c,0,,38,textures/exo-class1.jpg,-,-,-,-,-,-,,189.0410959,,Imaging,3179,,
d,d,0,,24,textures/exo-class1.jpg,-,-,-,-,-,-,,101.369863,,Imaging,3179,,
e,e,0,,14.5,textures/exo-class2.jpg,-,-,-,-,-,-,,49.31506849,,Imaging,2861.1,,
HD 38529,HD 38529 A,1,2.02418,138,textures/g.png,05.46.35.96,+01.10.06.7,5.94,G,G4V,2,-,-,-,-,binary,1,1
b,b,0,,0.129,textures/exo-class4.jpg,-,-,-,-,-,-,,0.03920274,,Radial Velocity,255.2903247,,
c,c,0,,3.68,textures/browndwarf.jpg,-,-,-,-,-,-,,5.956986301,,Radial Velocity,3896.527001,,
HD 93385,HD 93385,1,1.17,138,textures/g.png,10.46.15,-41.27.52,7.49,G,G2V,2,-,-,-,-,,1,0
b,b,0,,0.1116,textures/exo-class2.jpg,-,-,-,-,-,-,,0.036126027,,Radial Velocity,8.36077,,
c,c,0,,0.257,textures/exo-class2.jpg,-,-,-,-,-,-,,0.12609589,,Radial Velocity,10.10922,,
BD-08.2823,BD-08.2823,1,1.27853,139,textures/k.png,10.00.47.82,-09.31.00,9.86,K,K3V,2,-,-,-,-,,1,1
b,b,0,,0.056,textures/venuslike.jpg,-,-,-,-,-,-,,0.015342466,,Radial Velocity,14.3055,,
c,c,0,,0.68,textures/exo-class2.jpg,-,-,-,-,-,-,,0.650958904,,Radial Velocity,104.907,,
HD 147018,HD 147018,1,1.05268,140,textures/g.png,16.23.00,-61.41.19.5,8.37,G,G9V,2,-,-,-,-,,1,1
b,b,0,,0.2388,textures/exo-class3.jpg,-,-,-,-,-,-,,0.121194521,,Radial Velocity,676.0308923,,
c,c,0,,1.922,textures/exo-class2.jpg,-,-,-,-,-,-,,2.761643836,,Radial Velocity,2095.539718,,
HD 37605,HD 37605,1,0.916831,140,textures/k.png,05.40.01.73,+06.03.38.1,8.69,K,K0,2,-,-,-,-,,1,1
b,b,0,,0.25,textures/exo-class2.jpg,-,-,-,-,-,-,,0.150684932,,Radial Velocity,890.4395129,,
c,c,0,,3.814,textures/exo-class2.jpg,-,-,-,-,-,-,,7.452054795,,Radial Velocity,1069.618162,,
HD 215497,HD 215497,1,1.10659,142,textures/k.png,22.46.36.75,-56.35.58.3,8.97,K,K3V,2,-,-,-,-,,1,1
b,b,0,,0.047,textures/venuslike.jpg,-,-,-,-,-,-,,0.010767123,,Radial Velocity,6.628065431,,
c,c,0,,1.282,textures/exo-class2.jpg,-,-,-,-,-,-,,1.553424658,,Radial Velocity,104.0925678,,
HD 20003,HD 20003,1,,143,textures/g.png,03.07.38,-72.19.19,8.37,G,G8V,2,-,-,-,-,,1,0
b,b,0,,0.0974,textures/exo-class2.jpg,-,-,-,-,-,-,,0.032463014,,Radial Velocity,12.01662,,
c,c,0,,0.1961,textures/exo-class2.jpg,-,-,-,-,-,-,,0.092665753,,Radial Velocity,13.41538,,
HD 155358,HD 155358,1,1.49875,144,textures/g.png,17.09.34.62,+33.21.21.1,7.27,G,G0V,2,-,-,-,-,,1,1
b,b,0,,0.64,textures/exo-class2.jpg,-,-,-,-,-,-,,0.532328767,,Radial Velocity,260.445628,,
c,c,0,,1.02,textures/exo-class2.jpg,-,-,-,-,-,-,,1.07369863,,Radial Velocity,256.4878577,,
HIP 5158,HIP 5158,1,0.986271,146,textures/k.png,01.06.02.05,-22.27.11.4,10.21,K,K5,2,-,-,-,-,,1,1
b,b,0,,0.89,textures/exo-class2.jpg,-,-,-,-,-,-,,0.947178082,,Radial Velocity,457.776,,
c,c,0,,7.7,textures/exo-class2.jpg,-,-,-,-,-,-,,24.70630137,,Radial Velocity,4781.216,,
HD 187123,HD 187123,1,1.14277,157,textures/g.png,19.46.58.11,+34.25.10.3,7.83,G,G5V,2,-,-,-,-,,1,1
b,b,0,,0.042,textures/exo-class4.jpg,-,-,-,-,-,-,,0.008484932,,Radial Velocity,162.1042696,,
c,c,0,,4.89,textures/exo-class1.jpg,-,-,-,-,-,-,,10.43835616,,Radial Velocity,617.2634227,,
HD 204313,HD 204313,1,1.12584,154,textures/g.png,21.28.12.21,-21.43.34.5,7.99,G,G5V,3,-,-,-,-,,1,1
