Name,Star,Size(Rs/Rj),Distance(ly)/Orbit(AU),Texture,Right ascension,Declination,Apparent magnitude,Spectral class,Spectral type,(Confirmed)Planets,Day(day),Year(a),Inclination(km),detection,BinOrTri/Mass(Me)
c,0,,1.58,textures/earth.jpg,-,-,-,-,-,-,,1.663178082,20,Radial Velocity,782.8204519
HD 96700,1,,83,textures/sol.png,11.07.54,-30.10.28,6.5,G,G0V,2,-,-,-,-,
b,0,,0.0774,textures/earth.jpg,-,-,-,-,-,-,,0.022261918,,Radial Velocity,
c,0,,0.422,textures/earth.jpg,-,-,-,-,-,-,,0.283534247,,Radial Velocity,
HD 142,1,1.5121,84,textures/sol.png,00.06.18.66,-49.04.30.3,5.7,G,G1IV,2,-,-,-,-,
b,0,,1.02,textures/earth.jpg,-,-,-,-,-,-,,0.958082192,,Radial Velocity,414.9731495
c,0,,6.8,textures/earth.jpg,-,-,-,-,-,-,,16.45205479,,Radial Velocity,
HD 39194,1,,84,textures/sol.png,05.44.32,-70.08.37,8.08,K,K0V,3,-,-,-,-,
b,0,,0.0519,textures/earth.jpg,-,-,-,-,-,-,,0.015441918,,Radial Velocity,
c,0,,0.0954,textures/earth.jpg,-,-,-,-,-,-,,0.038424658,,Radial Velocity,
d,0,,0.172,textures/earth.jpg,-,-,-,-,-,-,,0.092989041,,Radial Velocity,
23 Librae,1,,85,textures/sol.png,15.13.28.67,-25.18.33.6,6.45,G,G5V,2,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,,,,,,,,,,,,,
HIP 57274,1,0.68,85,textures/sol.png,11.44.41,+30.57.33,8.96,K,K5V,3,-,-,-,-,
b,0,,0.07,textures/earth.jpg,-,-,-,-,-,-,,0.022288219,,Radial Velocity,11.62280773
c,0,,0.178,textures/earth.jpg,-,-,-,-,-,-,,0.087753425,,Radial Velocity,130.3353211
d,0,,1.01,textures/earth.jpg,-,-,-,-,-,-,,1.182739726,,Radial Velocity,167.9892798
HD 181433,1,1.00831,87,textures/sol.png,19.25.09.57,-66.28.07.7,8.38,K,K5V,3,-,-,-,-,
b,0,,0.08,textures/earth.jpg,-,-,-,-,-,-,,0.025683014,,Radial Velocity,7.542773421
c,0,,1.76,textures/earth.jpg,-,-,-,-,-,-,,2.635616438,,Radial Velocity,203.534843
d,0,,3,textures/earth.jpg,-,-,-,-,-,-,,5.950684932,,Radial Velocity,170.1850747
HD 134606,1,,87,textures/sol.png,15.15.15,-70.31.11,6.85,G,G6IV,3,-,-,-,-,
b,0,,0.1023,textures/earth.jpg,-,-,-,-,-,-,,0.03310411,,Radial Velocity,
c,0,,0.2962,textures/earth.jpg,-,-,-,-,-,-,,0.163065753,,Radial Velocity,
d,0,,1.1567,textures/earth.jpg,-,-,-,-,-,-,,1.258246575,,Radial Velocity,
HD 82943,1,1.09738,90,textures/sol.png,09.34.50.74,-12.07.46.4,6.54,G,G0V,2,-,-,-,-,
b,0,,1.18,textures/earth.jpg,-,-,-,-,-,-,,1.208767123,,Radial Velocity,550.9414522
c,0,,0.747,textures/earth.jpg,-,-,-,-,-,-,,0.600821918,,Radial Velocity,632.2230506
HD 114386,1,0.637212,91,textures/sol.png,13.10.39.82,-35.03.17.2,8.73,K,K3V,2,-,-,-,-,
b,0,,1.65,textures/earth.jpg,-,-,-,-,-,-,,2.569041096,,Radial Velocity,433.406513
c,0,,,textures/earth.jpg,-,-,-,-,-,-,,2.865753425,,Radial Velocity,
HD 13808,1,,93,textures/sol.png,02.12.43,-53.44.38,8.38,K,K2V,2,-,-,-,-,
b,0,,0.1017,textures/earth.jpg,-,-,-,-,-,-,,0.038854795,,Radial Velocity,
c,0,,0.2476,textures/earth.jpg,-,-,-,-,-,-,,0.147484932,,Radial Velocity,
HD 21693,1,,105,textures/sol.png,03.27.12,-58.19.25,7.94,G,G9IV,2,-,-,-,-,
b,0,,0.1484,textures/earth.jpg,-,-,-,-,-,-,,0.062071233,,Radial Velocity,
c,0,,0.2644,textures/earth.jpg,-,-,-,-,-,-,,0.147619178,,Radial Velocity,
HD 11964,1,1.76025,107,textures/sol.png,01.57.09.61,-10.14.32.7,6.42,G,G5IV,2,-,-,-,-,
b,0,,3.16,textures/earth.jpg,-,-,-,-,-,-,,5.328767123,,Radial Velocity,193.2661883
c,0,,0.229,textures/earth.jpg,-,-,-,-,-,-,,0.103863014,,Radial Velocity,24.49377664
HD 45364,1,1.02464,107,textures/sol.png,06.25.38.48,-31.28.51.4,8.07,G,G8V,2,-,-,-,-,
b,0,,0.6813,textures/earth.jpg,-,-,-,-,-,-,,0.621726027,,Radial Velocity,59.47906101
c,0,,0.8972,textures/earth.jpg,-,-,-,-,-,-,,0.939315068,,Radial Velocity,209.2863702
HD 37124,1,0.772275,110,textures/sol.png,05.37.02.49,+20.43.50.8,7.68,G,G4V,3,-,-,-,-,
b,0,,0.53,textures/earth.jpg,-,-,-,-,-,-,,0.423178082,,Radial Velocity,214.3263061
c,0,,3.19,textures/earth.jpg,-,-,-,-,-,-,,6.287671233,,Radial Velocity,205.9798062
d,0,,1.64,textures/earth.jpg,-,-,-,-,-,-,,2.311232877,,Radial Velocity,218.2287762
HD 65216,1,0.88536,112,textures/sol.png,07.53.41.3,-63.38.50.4,7.98,G,G5V,2,-,-,-,-,
b,0,,1.3,textures/earth.jpg,-,-,-,-,-,-,,1.568219178,,Radial Velocity,HD 65216
c,0,,0.54,textures/earth.jpg,-,-,-,-,-,-,,0.418082192,,Radial Velocity,
HD 12661,1,1.06782,114,textures/sol.png,02.04.34.29,+25.24.51.5,7.44,G,G6V,2,-,-,-,-,
b,0,,0.831,textures/earth.jpg,-,-,-,-,-,-,,0.719750685,,Radial Velocity,743.945124
c,0,,2.9,textures/earth.jpg,-,-,-,-,-,-,,4.679452055,,Radial Velocity,619.3292307
HD 51608,1,,114,textures/sol.png,006.54.51,-55.15.34,8.17,K,K0IV,2,-,-,-,-,
b,0,,0.1059,textures/earth.jpg,-,-,-,-,-,-,,0.038547945,,Radial Velocity,
c,0,,0.3791,textures/earth.jpg,-,-,-,-,-,-,,0.261410959,,Radial Velocity,
HD 20781,1,,115,textures/sol.png,03.20.03,-28.47.02,8.44,G,G9.5V,2,-,-,-,-,
b,0,,0.169,textures/earth.jpg,-,-,-,-,-,-,,0.079863014,,Radial Velocity,
c,0,,0.3456,textures/earth.jpg,-,-,-,-,-,-,,0.233235616,,Radial Velocity,
HD 169830,1,1.80318,119,textures/sol.png,18.27.49.48,-29.49.00.7,5.91,F,F9V,2,-,-,-,-,
b,0,,0.81,textures/earth.jpg,-,-,-,-,-,-,,0.618136986,,Radial Velocity,918.3183861
c,0,,3.6,textures/earth.jpg,-,-,-,-,-,-,,5.75890411,,Radial Velocity,1291.628956
HD 215456,1,,124,textures/sol.png,22.46.08,-48.58.4,6.63,G,G0.5V,2,-,-,-,-,
b,0,,0.652,textures/earth.jpg,-,-,-,-,-,-,,0.526,,Radial Velocity,
c,0,,3.394,textures/earth.jpg,-,-,-,-,-,-,,6.238356164,,Radial Velocity,
Kepler-42,1,0.17,126,textures/sol.png,19.28.53,+44.37.10,16.12,M,M,3,-,-,-,-,
b,0,0.07,0.0116,textures/earth.jpg,-,-,-,-,-,-,,0.00332539,,Transit,
c,0,0.065,0.006,textures/earth.jpg,-,-,-,-,-,-,,0.001241877,,Transit,
d,0,0.051,0.0154,textures/earth.jpg,-,-,-,-,-,-,,0.005110052,,Transit,
HD 31527,1,,126,textures/sol.png,04.55.38,-23.14.31,7.48,G,G0V,3,-,-,-,-,
b,0,,0.1253,textures/earth.jpg,-,-,-,-,-,-,,0.045331507,,Radial Velocity,
c,0,,0.2665,textures/earth.jpg,-,-,-,-,-,-,,0.14050411,,Radial Velocity,
d,0,,0.8181,textures/earth.jpg,-,-,-,-,-,-,,0.752027397,,Radial Velocity,
HD 10180,1,1.10851,127,textures/sol.png,01.37.53.58,-60.30.41.5,7.33,G,G1V,7,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,0.0641,textures/earth.jpg,-,-,-,-,-,-,,0.015780247,,Radial Velocity,13.19110558
d,0,,0.1286,textures/earth.jpg,-,-,-,-,-,-,,0.044816164,,Radial Velocity,11.96735272
e,0,,0.2699,textures/earth.jpg,-,-,-,-,-,-,,0.136287671,,Radial Velocity,25.35836495
f,0,,0.4929,textures/earth.jpg,-,-,-,-,-,-,,0.336328767,,Radial Velocity,23.62178321
g,0,,1.422,textures/earth.jpg,-,-,-,-,-,-,,1.647123288,,Radial Velocity,21.41489644
h,0,,3.4,textures/earth.jpg,-,-,-,-,-,-,,6.087671233,,Radial Velocity,65.4807099
HD 47186,1,1.13117,129,textures/sol.png,06.36.08.79,-27.37.20.3,7.79,G,G6V,2,-,-,-,-,
b,0,,0.05,textures/earth.jpg,-,-,-,-,-,-,,0.011190411,,Radial Velocity,22.62949618
c,0,,2.395,textures/earth.jpg,-,-,-,-,-,-,,3.708493151,,Radial Velocity,110.6907585
HR 8799,1,1.44,129,textures/sol.png,23.07.28.72,+21.08.03.3,5.96,A,A5V,4,-,-,-,-,
b,0,1.2,68,textures/earth.jpg,-,-,-,-,-,-,,465.7534247,,Imaging,
c,0,1.2,38,textures/earth.jpg,-,-,-,-,-,-,,189.0410959,,Imaging,
d,0,1.37,24,textures/earth.jpg,-,-,-,-,-,-,,101.369863,,Imaging,
e,0,,14.5,textures/earth.jpg,-,-,-,-,-,-,,49.31506849,,Imaging,
HD 38529,1,2.02418,138,textures/sol.png,05.46.35.96,+01.10.06.7,5.94,G,G4V,2,-,-,-,-,
b,0,,0.129,textures/earth.jpg,-,-,-,-,-,-,,0.03920274,,Radial Velocity,255.2903247
c,0,,3.68,textures/earth.jpg,-,-,-,-,-,-,,5.956986301,,Radial Velocity,3896.527001
HD 93385,1,,138,textures/sol.png,10.46.15,-41.27.52,7.49,G,G2V,2,-,-,-,-,
b,0,,0.1116,textures/earth.jpg,-,-,-,-,-,-,,0.036126027,,Radial Velocity,
c,0,,0.257,textures/earth.jpg,-,-,-,-,-,-,,0.12609589,,Radial Velocity,
BD-08.2823,1,1.27853,139,textures/sol.png,10.00.47.82,-09.31.00,9.86,K,K3V,2,-,-,-,-,
b,0,,0.056,textures/earth.jpg,-,-,-,-,-,-,,0.015342466,,Radial Velocity,
c,0,,0.68,textures/earth.jpg,-,-,-,-,-,-,,0.650958904,,Radial Velocity,
HD 147018,1,1.05268,140,textures/sol.png,16.23.00,-61.41.19.5,8.37,G,G9V,2,-,-,-,-,
b,0,,0.2388,textures/earth.jpg,-,-,-,-,-,-,,0.121194521,,Radial Velocity,676.0308923
c,0,,1.922,textures/earth.jpg,-,-,-,-,-,-,,2.761643836,,Radial Velocity,2095.539718
HD 37605,1,0.916831,140,textures/sol.png,05.40.01.73,+06.03.38.1,8.69,K,K0,2,-,-,-,-,
b,0,,0.25,textures/earth.jpg,-,-,-,-,-,-,,0.150684932,,Radial Velocity,890.4395129
c,0,,3.814,textures/earth.jpg,-,-,-,-,-,-,,7.452054795,,Radial Velocity,1069.618162
HD 215497,1,1.10659,142,textures/sol.png,22.46.36.75,-56.35.58.3,8.97,K,K3V,2,-,-,-,-,
b,0,,,textures/earth.jpg,-,-,-,-,-,-,,0.010767123,,Radial Velocity,HD 215497
c,0,,,textures/earth.jpg,-,-,-,-,-,-,,1.553424658,,Radial Velocity,HD 215497
HD 20003,1,,143,textures/sol.png,03.07.38,-72.19.19,8.37,G,G8V,2,-,-,-,-,
b,0,,0.0974,textures/earth.jpg,-,-,-,-,-,-,,0.032463014,,Radial Velocity,
c,0,,0.1961,textures/earth.jpg,-,-,-,-,-,-,,0.092665753,,Radial Velocity,
HD 155358,1,1.49875,144,textures/sol.png,17.09.34.62,+33.21.21.1,7.27,G,G0V,2,-,-,-,-,
b,0,,0.64,textures/earth.jpg,-,-,-,-,-,-,,0.532328767,,Radial Velocity,260.445628
c,0,,1.02,textures/earth.jpg,-,-,-,-,-,-,,1.07369863,,Radial Velocity,256.4878577
HIP 5158,1,0.986271,146,textures/sol.png,01.06.02.05,-22.27.11.4,10.21,K,K5,2,-,-,-,-,
b,0,,0.89,textures/earth.jpg,-,-,-,-,-,-,,0.947178082,,Radial Velocity,453.3113674
c,0,,7.7,textures/earth.jpg,-,-,-,-,-,-,,24.70630137,,Radial Velocity,
HD 187123,1,1.14277,157,textures/sol.png,19.46.58.11,+34.25.10.3,7.83,G,G5V,2,-,-,-,-,
b,0,,0.042,textures/earth.jpg,-,-,-,-,-,-,,0.008484932,,Radial Velocity,162.1042696
c,0,,4.89,textures/earth.jpg,-,-,-,-,-,-,,10.43835616,,Radial Velocity,617.2634227
HD 204313,1,1.12584,154,textures/sol.png,21.28.12.21,-21.43.34.5,7.99,G,G5V,3,-,-,-,-,
b,0,,3.082,textures/earth.jpg,-,-,-,-,-,-,,5.290410959,,Radial Velocity,1112.637819
c,0,,0.2103,textures/earth.jpg,-,-,-,-,-,-,,0.095542466,,Radial Velocity,
d,0,,3.93,textures/earth.jpg,-,-,-,-,-,-,,7.757808219,,Radial Velocity,
Cha 110913-773444,1,,163,textures/sol.png,11.09.13.63,-77.34.44.6,21.59,L,L,4,-,-,-,-,
b,0,,,,,,,,,,,,,,
c,0,,,,,,,,,,,,,,
d,0,,,,,,,,,,,,,,
e,0,,,,,,,,,,,,,,
HD 11506,1,1.26275,169,textures/sol.png,01.52.50.53,-19.30.25.1,7.54,G,G0V,2,-,-,-,-,
b,0,,2.43,textures/earth.jpg,-,-,-,-,-,-,,3.48,,Radial Velocity,1504.76631
c,0,,0.639,textures/earth.jpg,-,-,-,-,-,-,,0.467,,Radial Velocity,
HD 41248,1,,171,textures/sol.png,06.00.33.0,-56.09.43,8.82,G,G2V,2,-,-,-,-,
b,0,,0.137,textures/earth.jpg,-,-,-,-,-,-,,0.050293151,,Radial Velocity,
c,0,,0.172,textures/earth.jpg,-,-,-,-,-,-,,0.070268493,,Radial Velocity,
HD 9446,1,0.919448,171,textures/sol.png,01.33.20.18,+29.15.54.5,8.35,G,G5V,2,-,-,-,-,
b,0,,0.189,textures/earth.jpg,-,-,-,-,-,-,,0.082334247,,Radial Velocity,222.0803958
c,0,,0.654,textures/earth.jpg,-,-,-,-,-,-,,0.528493151,,Radial Velocity,576.9897017
HD 159868,1,1.84825,172,textures/sol.png,17.38.59.53,-43.08.43.8,7.27,G,G5V,2,-,-,-,-,
b,0,,2.25,textures/earth.jpg,-,-,-,-,-,-,,3.228493151,,Radial Velocity,699.2092578
c,0,,1,textures/earth.jpg,-,-,-,-,-,-,,0.965205479,,Radial Velocity,232.0061263
HIP 14810,1,1.31998,174,textures/sol.png,03.11.14.23,+21.05.50.5,8.51,G,G5V,3,-,-,-,-,
b,0,,0.0692,textures/earth.jpg,-,-,-,-,-,-,,0.018284534,,Radial Velocity,1231.351857
c,0,,0.545,textures/earth.jpg,-,-,-,-,-,-,,0.404739726,,Radial Velocity,405.2733866
d,0,,1.89,textures/earth.jpg,-,-,-,-,-,-,,2.608219178,,Radial Velocity,184.5243246
HD 125612,1,1.0426,177,textures/sol.png,14.20.53.51,-17.28.53.5,8.33,G,G3V,3,-,-,-,-,
b,0,,1.37,textures/earth.jpg,-,-,-,-,-,-,,1.53260274,,Radial Velocity,975.0772547
c,0,,0.05,textures/earth.jpg,-,-,-,-,-,-,,0.01138274,,Radial Velocity,18.45456183
d,0,,4.2,textures/earth.jpg,-,-,-,-,-,-,,8.24109589,,Radial Velocity,
HD 207832,1,0.901,177,textures/sol.png,21.52.36.0,-26.01.36,8.79,G,G5V,2,-,-,-,-,
b,0,,0.57,textures/earth.jpg,-,-,-,-,-,-,,0.443753425,,Radial Velocity,179.3045046
c,0,,2.112,textures/earth.jpg,-,-,-,-,-,-,,3.16630137,,Radial Velocity,232.0995644
HD 183263,1,1.11717,180,textures/sol.png,19.28.24.57,+08.21.30.0,7.86,G,G2IV,2,-,-,-,-,
b,0,,1.52,textures/earth.jpg,-,-,-,-,-,-,,1.737616438,,Radial Velocity,1136.019587
