# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
2M 044144 b,7.5,2384.25,[2.5],,,,,15,[0.6],,,,,0.107143,,,,,,,,,,,,,,,,,,,detected by imaging,,2M 044144,41:45.0,+23:01:51,,,14.2,13.72,13.16,140,,0.02,,M8.5,0.001,
2M 0746+20 b,30,9537,[25.0],0.97,[0.06],4640,[25.0],2.897,"[0.005, 0.005]",0.487,[0.003],138.2,[0.5],0.237265,354.4,[0.9],,,,,,,,,,,,,,,,,detected by imaging,,2M 0746+20,46:43.0,+20:00:32,,,,,,12.21,,0.12,0.089,,,2205
2M 2140+16 b,20,6358,"[20.0, 80.0]",0.92,[0.39],7340,"[584.0, 584.0]",3.53,"[0.15, 0.15]",0.26,[0.06],46.2,"[8.7, 8.7]",0.1412,223,"[47.0, 47.0]",,,,,,,,,,,,,,,,,detected by imaging,,2M 2140+16,40:29.0,+16:25:18,,,,,,25,,0.08,0.1,,,2300
2M 2206-20 b,30,9537,"[20.0, 70.0]",1.3,[0.18],8686,[69.4],4.48,[0.4],0,,44.3,[0.7],0.167979,,,,,,,,,,,,,,,,,,,detected by imaging,,2M 2206-20,06:23.0,-20:47:06,,,,,,26.67,,0.13,0.11,,,2350
2M1207 b,4,1271.6,"[1.0, 6.0]",,,,,46,[5.0],,,,,0.877863,,,,,,,,,,,,,,,,,,,detected by imaging,,2M1207,07:33.0,-39:32:54,20.15,15.95,13,,,52.4,,0.025,,M8,0.008,
30 Ari B b,9.88,3140.852,[0.94],,,335.1,[2.5],0.995,[0.012],0.289,[0.092],,,0.025254,307,[18.0],2454538,[20.0],,,,,,,,,,,,,,,detected by radial velocity,,30 Ari B,36:58.0,+24:38:53,7.1,,,,,39.4,0.07,1.13,1.13,F6V,0.91,6424
4 Uma b,7.1,2257.09,[1.6],,[],269.3,[1.96],0.87,[0.04],0.432,[0.024],,[],0.011083,23.81,[4.42],52987.3936,[4.31],,[],,[],,,,,,,,,,,detected by radial velocity,,4 Uma,40:13.0,+64:19:41,5.79,,,,,78.5,-0.25,1.234,,K1III,4.604,4415
42 Dra b,3.88,1233.452,[0.85],,,479.1,[6.2],1.19,[0.01],0.38,[0.06],,,0.01223,218.7,[10.6],2452757.4,[3.7],,,,,,,,,,,,,,,detected by radial velocity,,42 Dra,25:59.0,+65:33:49,4.83,,,,,97.3,-0.46,0.98,22.03,K1.5III,9.49,4200
47 Uma b,2.53,804.287,"[0.06, 0.07]",,,1078,[2.0],2.1,[0.02],0.032,[0.014],,,0.150322,334,[23.0],1917,"[76.0, 76.0]",,,,,,,,,,,,,,,detected by radial velocity,,47 Uma,59:29.0,+40:25:46,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892
47 Uma c,0.54,171.666,"[0.073, 0.066]",,,2391,"[87.0, 87.0]",3.6,[0.1],0.098,"[0.096, 0.096]",,,0.257695,295,"[160.0, 160.0]",2441,"[825.0, 825.0]",,,,,,,,,,,,,,,detected by radial velocity,,47 Uma,59:29.0,+40:25:46,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892
