# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HD 108874 b,1.36,432.344,[0.13],,[],395.4,[2.5],1.051,[0.02],0.07,[0.04],,[],0.015343,248.4,[36.0],60131.5,[60.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 108874,30:26.0,+22:52:47,8.76,,,,,68.5,0.14,1,1.22,G5,7.26,5407
HD 108874 c,1.018,323.6222,[0.3],,[],1605.8,[88.0],2.68,[0.25],0.25,[0.07],,[],0.039124,17.3,[23.0],14584.8,[180.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 108874,30:26.0,+22:52:47,8.76,,,,,68.5,0.14,1,1.22,G5,7.26,5407
HD 109246 b,0.77,244.783,[0.09],,,68.27,[0.13],0.33,[0.08],0.12,[0.04],,,0.00503,235,[29.0],54824.6,[4.7],,,,,,,,,,,,,,,detected by radial velocity,,HD 109246,32:07.0,+74:29:22,8.77,,,,,65.6,0.1,1.01,1.02,GOV,,5844
HD 109271 b,0.054,17.1666,[0.004],,[],7.8543,[0.0009],0.079,[0.001],0.25,[0.08],,[],,-64,[20.0],2455719.1,[3.6],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 109271,33:36.0,-11:37:19,8.05,,,,,62,0.1,1.047,,G5V,7.3,5783
HD 109271 c,0.076,24.1604,[0.007],,[],30.93,[0.02],0.196,[0.003],0.15,[0.09],,[],,4,[120.0],2455733,[8.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 109271,33:36.0,-11:37:19,8.05,,,,,62,0.1,1.047,,G5V,7.3,5783
HD 109749 b,0.28,89.012,[0.016],,,5.24,[0.002],0.0635,,0.01,[0.01],,,0.001076,0,,,,,,,,,,,,3013.55,[0.14],,,,,detected by radial velocity,,HD 109749,37:16.0,-40:48:43,8.1,,,,,59,0.25,1.2,,G3 IV,10.3,5610
HD 110014 b,11.09,3525.511,[1.0],,,835.477,[6.0],2.14,[0.03],0.462,[0.069],,,0.023778,290.6,[3.8],,,,,,,,,,,,,,,,,detected by radial velocity,,HD 110014,39:14.0,-07:59:44,4.66,,,,,90,0.19,2.17,20.9,K2III,0.95,4445
HD 111232 b,6.8,2161.72,,,,1143,[14.0],1.97,,0.2,[0.01],,,0.067931,98,[6.0],51230,[20.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 111232,48:51.0,-68:25:30,7.61,,,,,29,-0.36,0.78,,G8V,5.2,5494
HD 113337 b,2.83,899.657,[0.24],,[],324,"[1.7, 3.3]",0.92,[0.09],0.46,[0.04],,[],,-140.8,[3.7],2446074.5,[2.3],,[],,[],,[],,[],,,,,,,detected by radial velocity,,HD 113337,01:47.0,+63:36:37,6,,,,,36.9,0.07,1.4,1.5,,0.15,3818
HD 113538 b,0.27,85.833,[0.08],,,263.3,[2.3],0.71,[0.01],0.61,[0.11],,,0.044937,74,[20.0],54950,[8.5],,,,,,,,,,,,,,,detected by radial velocity,,HD 113538,04:57.0,-52:26:35,9.02,,,,,15.8,-0.17,0.7,0.65,K9V,1.3,4685
HD 113538 c,0.71,225.709,[0.06],,,1657,[48.0],2.43,[0.06],0.32,[0.06],,,0.153797,-90,[21.0],56110,[515.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 113538,04:57.0,-52:26:35,9.02,,,,,15.8,-0.17,0.7,0.65,K9V,1.3,4685
HD 114386 b,1.24,394.196,[],,[],937,[15.6],1.02,[],0.23,[0.03],,[],0.058929,273,[14.0],50454,[43.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 114386,10:39.0,-35:03:17,8.73,,,,,28,0,0.75,0.76,K3 V,2.19,4819
HD 114386 c,1.19,378.301,,,,1046,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 114386,10:39.0,-35:03:17,8.73,,,,,28,0,0.75,0.76,K3 V,2.19,4819
HD 114729 b,0.84,267.036,,,,1135,[9.0],2.08,,0.32,[0.18],,,0.059429,73,[30.0],451,[300.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 114729,12:44.0,-31:52:24,6.69,,,,,35,-0.22,0.93,1.46,G3 V,4.58,5662
HD 114762 b,10.98,3490.542,[0.09],,,83.9151,[0.003],0.353,[0.001],0.3354,[0.0048],,,0.008946,201.28,[1.01],9889.106,[0.186],151326.665,[0.242],,,,,,,,,,,,,detected by radial velocity,,HD 114762,12:19.0,+17:31:01,7.3,,,,,39.46,-0.71,0.84,1.24,F9V,11.8,5934
HD 114783 b,1,317.9,,,,501,[14.0],1.2,,0.1,[0.08],10,"[8.0, 8.0]",0.058824,97,[40.0],1840,[59.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 114783,12:43.0,-02:15:54,7.57,,,,,20.4,0.33,0.92,0.78,K0,3.7,5105
HD 11506 b,3.44,1093.576,"[0.47, 0.9]",,,1270,"[95.0, 95.0]",2.43,"[0.12, 0.12]",0.22,"[0.12, 0.12]",,,0.045151,4.5,"[0.7, 0.7]",13666.3,[102.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 11506,52:51.0,-19:30:25,7.51,,,,,53.82,0.31,1.19,1.38,G0V,5.4,6058
HD 11506 c,0.82,260.678,"[0.5, 0.31]",,,170.46,"[6.0, 6.0]",0.639,"[0.017, 0.017]",0.42,"[0.42, 0.42]",,,0.011873,4.1,"[1.8, 1.8]",,,,,,,,,,,,,,,,,detected by radial velocity,,HD 11506,52:51.0,-19:30:25,7.51,,,,,53.82,0.31,1.19,1.38,G0V,5.4,6058
HD 116029 b,2.1,667.59,[0.2],,,670.2,[8.3],1.73,[0.04],0.21,"[inf, nan]",,,0.014042,360,[100.0],2455220,[200.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 116029,20:40.0,+24:38:55,8.04,,,,,123.2,0.18,1.58,4.6,K1III,2.7,4951
HD 117207 b,2.06,654.874,,,,2627.08,[63.51],3.78,,0.16,[0.05],,,0.114545,81.7,[19.9],2450666.43,[148.89],,,,,,,,,,,,,,,detected by radial velocity,,HD 117207,29:21.0,-35:34:15,7.26,,,,,33,0.27,1.07,1.09,G8VI/V,6.68,5432
HD 117618 b,0.178,56.5862,[0.02],,[],25.827,[0.02],0.176,[0.01],0.42,[0.02],,[],0.004632,245,[19.0],832.2,[1.8],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 117618,32:25.0,-47:16:16,7.18,,,,,38,0.04,1.05,1.19,G2V,3.88,5861
HD 117618 c,0.2,63.58,[0.1],,[],318,[2.0],0.93,[0.01],0,[0.26],,[],,0,[29.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 117618,32:25.0,-47:16:16,7.18,,,,,38,0.04,1.05,1.19,G2V,3.88,5861
HD 118203 b,2.13,677.127,,,,6.1335,[0.0006],0.07,,0.309,[0.014],,,0.00079,155.7,[2.4],53394.23,,,,,,,,,,,,,,,,detected by radial velocity,,HD 118203,34:02.0,+53:43:42,8.05,,,,,88.6,0.1,1.23,,K0,4.6,5600
HD 11964 b,0.622,197.7338,[0.056],,[],1945,[26.0],3.16,[0.19],0.041,[0.017],,[],0.092996,155,[],54170,[380.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 11964,57:09.0,-10:14:32,6.42,,,,,33.98,0.17,1.125,2.18,G5,9.56,5248
HD 11964 c,0.079,25.1141,[0.01],,[],37.91,[0.041],0.229,[0.013],0.3,[0.17],,[],0.006739,102,[],54370,[180.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 11964,57:09.0,-10:14:32,6.42,,,,,33.98,0.17,1.125,2.18,G5,9.56,5248
HD 11977 b,6.54,2079.066,,,,711,[8.0],1.93,,0.4,[0.07],,,0.029023,351.5,[9.5],1420,,,,,,,,,,,,,,,,detected by radial velocity,,HD 11977,54:56.0,-67:38:50,4.7,,,,,66.5,-0.21,1.91,13,G8.5 III,1.25,4975
HD 120084 b,4.5,1430.55,[],,[],2082,"[24.0, 35.0]",4.3,[],0.66,"[0.14, 0.1]",,[],,117,"[12.0, 9.0]",2450774,"[80.0, 61.0]",,[],,[],,,,,,,,,,,detected by radial velocity,,HD 120084,42:52.0,+78:03:42,5.91,,,,,97.7,0.09,2.39,9.12,G7 III,,4892
HD 121504 b,1.22,387.838,,,,63.33,[0.03],0.33,,0.03,[0.01],,,0.007437,265,[12.0],51450,[2.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 121504,57:17.0,-56:02:24,7.54,,,,,44.37,0.16,1.18,,G2 V,1.62,6075
HD 122430 b,3.71,1179.409,[],,[],344.95,[1.08],1.02,[],0.68,[0.09],,[],0.007556,91.04,[17.27],2451986.71,[3.75],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 122430,02:22.0,-27:25:47,5.48,,,,,135,-0.05,1.39,22.9, K3III,3.11,4300
HD 125595 b,0.042,13.3518,[0.004],,,9.6737,[0.0039],0.0809,[0.0014],0,,,,0.002953,,,,,,,,,,,,,2454435.23,[0.15],,,,,detected by radial velocity,,HD 125595,21:23.0,-40:23:38,9.03,,,,,27.4,0.02,0.756,,K4V,3.53,4908
HD 125612 b,3,953.7,,,,502,[14.0],1.37,,0.46,[0.01],,,0.025937,41.5,[1.7],54894.9,[2.5],,,,,,,,,,,,,,,detected by radial velocity,,HD 125612,20:54.0,-17:28:53,8.31,,,,,52.82,0.24,1.1,1.05,G3V,2.1,5897
HD 125612 c,0.058,18.4382,,,,4.1547,[0.0005],0.05,,0.27,[0.12],,,0.000947,103,[23.0],54420.17,[0.23],,,,,,,,,,,,,,,detected by radial velocity,,HD 125612,20:54.0,-17:28:53,8.31,,,,,52.82,0.24,1.1,1.05,G3V,2.1,5897
HD 125612 d,7.2,2288.88,,,,3008,[202.0],4.2,,0.28,[0.12],,,0.079515,-76,[8.0],57174,"[17.0, 17.0]",,,,,,,,,,,,,,,detected by radial velocity,,HD 125612,20:54.0,-17:28:53,8.31,,,,,52.82,0.24,1.1,1.05,G3V,2.1,5897
HD 126525 b,0.224,71.2096,[0.0182],,,948.12,[21.966],1.8105,[0.0411],0.13,[0.07],,,0.04752,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 126525,27:33.0,-51:55:59,7.85,,,,,38.1,,,,G4V,,
HD 12661 b,2.3,731.17,,,,263.6,[1.2],0.83,,0.377,[0.008],,,0.022336,296,[1.5],2454152.76,[0.87],,,,,,,,,,,,,,,detected by radial velocity,,HD 12661,04:34.0,+25:24:51,7.44,,,,,37.16,0.29,1.07,1.12,G6 V,7.05,5742
HD 12661 c,1.57,499.103,,,,1708,[14.0],2.56,,0.031,[0.022],,,0.068891,165,,4170,[380.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 12661,04:34.0,+25:24:51,7.44,,,,,37.16,0.29,1.07,1.12,G6 V,7.05,5742
HD 126614 b,0.38,120.802,[0.04],,,1244,[17.0],2.35,[0.02],0.41,[0.1],,,0.032459,243,[19.0],23808,[52.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 126614,26:48.0,-05:10:40,8.81,,,,,72.4,0.56,1.145,1.09,K0,7.2,5585
HD 128311 b,2.18,693.022,[0.022],,,448.6,[6.8],1.099,[0.04],0.25,[0.1],,,0.066205,110.9,[36.0],2450210.9,[76.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 128311,36:00.0,+09:44:47,7.51,,,,,16.6,0.08,0.84,0.73,K0V,0.39,4965
HD 128311 c,3.21,1020.459,[0.3],,,919,,1.76,[0.13],0.17,[0.09],50,[10.0],0.106024,195.5,[150.0],2450012.2,[401.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 128311,36:00.0,+09:44:47,7.51,,,,,16.6,0.08,0.84,0.73,K0V,0.39,4965
HD 129445 b,1.6,508.64,[0.6],,,1840,[55.0],2.9,[0.2],0.7,[0.1],,,0.042893,163,[15.0],24553093,[50.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 129445,46:03.0,-68:45:45,8.8,,,,,67.61,0.25,0.99,,G8V,,
HD 130322 b,1.02,324.258,,,,10.72,[0.07],0.088,,0.044,[0.018],76,"[42.0, 42.0]",0.002933,203.63,[23.14],51287.38,[0.68],,,,,,,,,,,,,,,detected by radial velocity,,HD 130322,47:33.0,+00:16:53,8.05,,,,,30,-0.02,0.79,0.83,K0 V,0.35,5330
HD 131496 b,2.2,699.38,[0.2],,,883,[29.0],2.09,[0.07],0.163,[0.073],,,0.019,22,[40.0],2456040,[100.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 131496,53:23.0,+18:14:07,7.96,,,,,110,0.25,1.61,4.6,K0,2.7,4927
HD 13189 b,14,4450.6,[6.0],,[],471.6,[6.0],1.85,[0.35],0.27,[0.06],,[],0.01,160.7,[12.0],2455327.9,[20.2],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 13189,09:40.0,+32:18:59,7.57,,,,,185,,4.5,50.39,K2 II,,
HD 132406 b,5.61,1783.419,,,,974,[39.0],1.98,,0.34,[0.09],,,0.027887,214,[19.0],53474,[44.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 132406,56:55.0,+53:22:56,8.45,,,,,71,0.18,1.09,,G0V,6.4,5885
HD 132563B b,1.49,473.671,[0.09],,,1544,[34.0],2.62,[0.04],0.22,[0.09],,,0.027292,158,[35.0],2452593,[148.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 132563B,58:21.0,+44:02:36,9.47,,,,,96,-0.19,1.01,,,5,5985
HD 134060 b,0.0351,11.15829,[0.0021],,,3.27,[0.0002],0.0444,[0.0007],0.4,[0.04],,,0.001835,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 134060,10:45.0,-61:25:20,6.29,,,,,24.2,,,,G0V,,
HD 134060 c,0.1507,47.90753,[0.071],,,1160.9,[27.046],2.2263,[0.0507],0.75,[0.19],,,0.091996,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 134060,10:45.0,-61:25:20,6.29,,,,,24.2,,,,G0V,,
HD 134606 b,0.0292,9.28268,[0.003],,,12.083,[0.0096],0.1023,[0.0017],0.15,[0.1],,,0.00386,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 134606,15:15.0,-70:31:11,6.85,,,,,26.5,,,,G6IV,,
HD 134606 c,0.0382,12.14378,[0.0048],,,59.519,[0.1746],0.2962,[0.0049],0.29,[0.2],,,0.011177,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 134606,15:15.0,-70:31:11,6.85,,,,,26.5,,,,G6IV,,
HD 134606 d,0.121,38.4659,[0.013],,,459.26,[8.3238],1.1567,[0.0241],0.46,[0.09],,,0.043649,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 134606,15:15.0,-70:31:11,6.85,,,,,26.5,,,,G6IV,,
HD 134987 b,1.59,505.461,[0.02],,,258.19,[0.07],0.81,[0.02],0.233,[0.002],,,0.036486,252.7,[0.5],10071,[0.8],,,,,,,,,,,,,,,detected by radial velocity,,HD 134987,13:28.0,-25:18:33,6.45,,,,,22.2,0.25,1.07,1.25,G5 V,9.7,5740
HD 134987 c,0.82,260.678,[0.03],,,5000,[400.0],5.8,[0.5],0.12,[0.02],,,0.261261,195,[48.0],11100,[600.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 134987,13:28.0,-25:18:33,6.45,,,,,22.2,0.25,1.07,1.25,G5 V,9.7,5740
HD 136352 b,0.0166,5.27714,[0.0025],,,11.577,[0.0056],0.0933,[0.0015],0.18,[0.14],,,0.006304,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 136352,21:48.0,-48:19:03,5.65,,,,,14.8,,,,G4V,,
HD 136352 c,0.0358,11.38082,[0.0031],,,27.582,[0.0225],0.1665,[0.0028],0.16,[0.07],,,0.01125,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 136352,21:48.0,-48:19:03,5.65,,,,,14.8,,,,G4V,,
HD 136352 d,0.03,9.537,[0.011],,,106.72,[1.0284],0.411,[0.0073],0.43,[0.24],,,0.02777,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 136352,21:48.0,-48:19:03,5.65,,,,,14.8,,,,G4V,,
HD 136418 b,2,635.8,[0.1],,,464.3,[3.2],1.32,[0.03],0.255,[0.041],,,0.013442,12,[10.0],2455228,[10.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 136418,19:07.0,+41:43:60,7.88,,,,,98.2,-0.07,1.33,3.4,G5,4,5071
HD 137388 b,0.223,70.8917,[0.029],,,330,"[4.0, 4.0]",0.89,[0.02],0.36,[0.12],,,0.023421,86,"[35.0, 35.0]",2455209,"[28.0, 28.0]",,,,,,,,,,,,,,,detected by radial velocity,,HD 137388,35:40.0,-80:12:17,8.71,,,,,38,0.18,0.86,0.82,K0/K1V,6.45,5240
HD 13808 b,0.0325,10.33175,[0.0029],,,14.182,[0.005],0.1017,[0.0016],0.17,[0.07],,,0.003556,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 13808,12:43.0,-53:44:38,8.38,,,,,28.6,,,,K2V,,
HD 13808 c,0.036,11.4444,[0.0051],,,53.832,[0.1127],0.2476,[0.0041],0.43,,,,0.008657,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 13808,12:43.0,-53:44:38,8.38,,,,,28.6,,,,K2V,,
HD 13931 b,1.88,597.652,[0.15],,,4218,[388.0],5.15,[0.29],0.02,[0.05],,,0.116516,290,[78.0],24494,[904.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 13931,16:47.0,+43:46:23,7.61,,,,,44.2,0.03,1.02,1.23,G0,8.4,5829
HD 139357 b,9.76,3102.704,[2.15],,,1125.7,[9.0],2.36,[0.2],0.1,[0.02],,,0.01944,235.4,[10.6],2452466.7,[3.2],,,,,,,,,,,,,,,detected by radial velocity,,HD 139357,35:16.0,+53:55:20,5.98,,,,,121.4,-0.13,1.35,11.47,K4III,3.07,4700
HD 141937 b,9.7,3083.63,,,,653.22,[1.21],1.52,,0.41,[0.01],,,0.045427,187.72,[0.8],51847.38,[1.97],,,,,,,,,,,,,,,detected by radial velocity,,HD 141937,52:17.0,-18:26:09,7.25,,,,,33.46,0.11,1.1,1.06,G2/G3 V,2.55,5925
HD 142 b,1.25,397.375,[0.15],,,349.7,[1.2],1.02,[0.3],0.17,[0.06],,,0.049515,327,[26.0],2452683,[26.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 142,06:19.0,-49:04:30,5.7,,,,,20.6,0.04,1.1,0.86,G1 IV,5.93,6180
HD 142 c,5.3,1684.87,[0.7],,[],6005,[477.0],6.8,[0.5],0.21,[0.07],,[],0.330097,250,[20.0],2455954,[223.0],,[],,[],,[],,[],,,,,,,detected by radial velocity,,HD 142,06:19.0,-49:04:30,5.7,,,,,20.6,0.04,1.1,0.86,G1 IV,5.93,6180
HD 142022 A b,5.1,1621.29,"[1.3, 2.6]",,,1928,"[39.0, 39.0]",3.03,[0.005],0.53,"[0.18, 0.18]",10,"[6.0, 6.0]",0.084472,170,"[10.0, 10.0]",50941,"[91.0, 91.0]",,,,,,,,,,,,,,,detected by radial velocity,,HD 142022 A,10:15.0,-84:13:53,7.7,,,,,35.87,0.19,0.99,0.705,K0 V,13.3,5382
HD 142245 b,1.9,604.01,[0.2],,,1299,[48.0],2.77,[0.09],0.32,"[inf, nan]",,,0.025297,234,[60.0],2454760,[240.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 142245,52:56.0,+15:25:51,7.63,,,,,109.5,0.23,1.69,5.2,K0,2.3,4878
HD 142415 b,1.62,514.998,,,,386.3,[1.6],1.05,,0.5,,,,0.030702,255,[4.0],51519,[4.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 142415,57:40.0,-60:12:00,7.34,,,,,34.2,0.21,1.09,1.03,G1 V,1.49,5834
HD 143361 b,3.12,991.848,[1.44],,,1057,[20.0],2,,0.15,[0.17],,,0.033698,237,[55.0],3746,[147.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 143361,01:50.0,-44:26:04,9.2,,,,,59.35,0.29,0.95,,G0V,,
HD 145377 b,5.76,1831.104,[0.1],,,103.95,[0.13],0.45,[0.004],0.307,[0.017],,,0.007799,138.1,[2.8],54635.4,[0.6],,,,,,,,,,,,,,,detected by radial velocity,,HD 145377,11:36.0,-27:04:41,8.12,,,,,57.7,0.12,1.12,1.14,G3V,1.3,6046
HD 145457 b,2.9,921.91,,,,176.3,[0.39],0.76,,0.112,[3.1],,,0.006032,300,[26.0],3518,[13.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 145457,10:04.0,+26:44:34,6.57,,,,,126,-0.14,1.9,9.9,K0,,4757
HD 1461 b,0.0239,7.59781,[0.0038],,,5.7727,[0.0025],0.063438,[1.8e-05],0.14,[0.19],,,0.002711,58,[69.0],2450366.936,,,,,,,,,,,,,,,,detected by radial velocity,,HD 1461,18:42.0,-08:03:11,6.64,,,,,23.4,0.19,1.08,1.095,G0V,6.3,5765
HD 1461 c,0.0186,5.91294,[0.0024],,,13.505,[0.0031],0.1117,[0.0018],0,,,,0.004774,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 1461,18:42.0,-08:03:11,6.64,,,,,23.4,0.19,1.08,1.095,G0V,6.3,5765
HD 147018 b,2.12,673.948,[0.07],,[],44.236,[0.008],0.2388,[0.0039],0.4686,[0.0081],,[],0.005559,-24.03,[1.23],4459.49,[0.1],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 147018,23:00.0,-61:41:20,8.3,,,,,42.96,0.1,0.927,,G9V,6.36,5441
HD 147018 c,6.56,2085.424,[0.32],,[],1008,[18.0],1.922,[0.039],0.133,[0.011],,[],0.044739,-133.1,[6.9],55301,[22.0],,[],,[],,,,,,,,,,,detected by radial velocity,,HD 147018,23:00.0,-61:41:20,8.3,,,,,42.96,0.1,0.927,,G9V,6.36,5441
HD 147513 b,1.21,384.659,,,,528.4,[6.3],1.32,,0.26,[0.05],,,0.102326,282,[9.0],51672,[11.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 147513,24:01.0,-39:11:34,5.37,,,,,12.9,-0.03,0.92,1,G3/G5V,0.65,5701
HD 148156 b,0.85,270.215,"[0.05, 0.06]",,,1010,,2.45,"[0.05, 0.05]",0.52,"[0.09, 0.09]",,,0.046183,35,"[12.0, 12.0]",4707,[20.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 148156,28:17.0,-46:19:03,7.69,,,,,53.05,0.29,1.22,1.21,F8V,,6308
HD 148427 b,0.96,305.184,[0.1],,,331.5,[3.0],0.93,[0.01],0.16,[0.08],,,0.015683,277,[68.0],13991,[15.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 148427,28:28.0,-13:23:59,6.89,,,,,59.3,0.154,1.45,3.22,K0IV,2.5,5052
HD 149026 b,0.356,113.1724,"[0.011, 0.013]",0.718,[0.065],2.8758916,[1.4e-06],0.04288,"[0.00033, 0.00033]",0,[],85.3,"[0.8, 0.8]",0.000543,,[],2453317.838,[0.003],,[],2454597.707,[0.00016],,,,,,,,,,,detected by transit,,HD 149026,30:29.0,+38:20:50,8.15,,,,,78.9,0.36,1.3,1.497,G0 IV,2,6147
HD 149143 b,1.36,432.344,,,,4.088,[0.006],0.052,,0,,,,0.000825,0,,53588,[0.4],,,,,,,,,,,,,,,detected by radial velocity,,HD 149143,32:51.0,+02:05:05,7.9,,,,,63,0.26,1.1,,G0 IV,7.6,5730
HD 1502 b,3.1,985.49,[0.2],,,431.8,[3.1],1.31,[0.03],0.101,[0.036],,,0.008239,219,[20.0],2455227,[20.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 1502,19:17.0,+14:03:17,8.52,,,,,159,0.09,1.61,4.5,K0D,2.4,5049
HD 150433 b,0.168,53.4072,[0.0197],,,1096.2,[27.234],1.9303,[0.0452],0,,,,0.065213,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 150433,41:08.0,-02:51:26,7.22,,,,,29.6,,,,G0,,
HD 150706 b,2.71,861.509,"[0.6, 1.14]",,,5894,[5.8],6.7,"[1.4, 1.4]",0.38,[0.3],,,0.246324,132,[35.0],2458179,"[1586.0, 1586.0]",,,,,,,,,,,,,,,detected by radial velocity,,HD 150706,31:17.0,+79:47:23,7.03,,,,,27.2,-0.13,0.94,0.87,G0,1.17,5741
HD 152079 b,3,953.7,[2.0],,,2097,[930.0],3.2,[2.1],0.6,[0.24],,,0.037572,325,[37.0],24553193,[260.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 152079,53:30.0,-46:19:51,9.18,,,,,85.17,0.16,1.023,,G6V,,
HD 152581 b,1.5,476.85,[0.1],,,689,[13.0],1.48,[0.04],0.22,"[inf, nan]",,,0.007957,321,[90.0],2455320,[190.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 152581,53:44.0,+11:58:25,8.54,,,,,186,-0.46,0.927,4.8,K0,12,5155
HD 153950 b,2.73,867.867,[0.05],,,499.4,[3.6],1.28,[0.01],0.34,[0.021],,,0.025806,308.2,[2.4],54502,[4.1],,,,,,,,,,,,,,,detected by radial velocity,,HD 153950,04:31.0,-43:18:35,7.39,,,,,49.6,-0.01,1.12,1.34,F8V,4.3,6076
HD 154088 b,0.0193,6.13547,[0.0081],,,18.596,[0.0205],0.1316,[0.0021],0.38,[0.15],,,0.007393,,,,,,,,,,,,,,,,,,,detected by radial velocity,,HD 154088,04:28.0,-28:34:58,6.58,,,,,17.8,,,,K0IV,,
HD 154345 b,1,317.9,[0.3],,,3538,[300.0],4.3,[0.4],0.26,[0.15],50,"[26.0, 26.0]",0.238095,-14,[60.0],2454701,[1000.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 154345,02:36.0,+47:04:55,6.74,,,,,18.06,-0.105,0.88,,G8V,4.92,5468
HD 154672 b,5.02,1595.858,[0.17],,,163.91,[0.01],0.6,"[0.17, 0.17]",0.61,[0.02],,,0.009119,265,[2.0],3045.3,[0.1],,,,,,,,,,,,,,,detected by radial velocity,,HD 154672,10:05.0,-56:26:57,8.22,,7.01,6.7,6.61,65.8,0.26,1.06,1.27,G3IV,9.28,5714
HD 154857 b,1.8,572.22,[0.4],,,409,[1.0],1.2,[0.2],0.47,[0.02],,,0.017518,59,[4.0],,,,,,,,,,,346,[5.0],,,,,detected by radial velocity,,HD 154857,11:15.0,-56:40:50,7.25,,,,,68.5,-0.22,1.17,2.42,G5V,5.6,5445
HD 155358 b,0.85,270.215,[0.05],,,194.3,[0.3],0.64,[0.01],0.17,[0.03],,,0.014884,143,[11.0],2451224.8,[6.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 155358,09:35.0,+33:21:21,7.27,,,,,43,-0.51,0.92,,G0,10.7,5900
HD 155358 c,0.82,260.678,[0.07],,,391.9,[1.0],1.02,[0.02],0.16,[0.1],,,0.023721,180,[26.0],2455345.4,[28.0],,,,,,,,,,,,,,,detected by radial velocity,,HD 155358,09:35.0,+33:21:21,7.27,,,,,43,-0.51,0.92,,G0,10.7,5900
HD 156279 b,9.71,3086.809,[0.66],,,131.05,[0.54],0.495,[0.017],0.708,[0.018],,,0.013525,-95.8,[1.7],2455525.59,[0.18],,,,,,,,,,,,,,,detected by radial velocity,,HD 156279,12:23.0,+63:21:08,8.08,,,,,36.6,0.14,0.93,,K0,4,5453
